OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
74,eez,17,Papua New Guinea,PNG,2407382.25276,53.61,87.77,88.73,83.48,65.2,100,66.78,66.78,92,59.71,59.24,100,100,9.41,0.01,7.28,34.56,83.53,5.01,-0.54,2454971636410.76,16283804.6474126
75,eez,171,Brazil,BRA,3672584.29126,69.96,89.22,97.48,97.69,58.96,100,48.76,45.27,95.24,68.47,65.7,80.1,60.2,99.17,4.16,4.5,83.82,83.19,30,-0.14,4004821643650.77,27247418.386966
76,eez,172,Argentina,ARG,1083150.52637,81.89,89.6,0,0,80.09,100,52.83,52.83,100,65.6,68.77,91.64,83.28,100,0.01,37.36,82.8,79.2,33.93,-0.33,2390825630647.64,14332740.7418777
77,eez,173,Uruguay,URY,130097.971095,84.83,88.18,0,0,57.98,100,49.94,49.94,100,68.59,62.73,100,100,98.43,0,4.64,83.51,76.35,32.72,0.07,197808538042.402,2668926.90503524
78,eez,174,Finland,FIN,79467.828702,95.54,86.18,0,0,69.45,100,85.95,79.57,88.28,95.83,74.09,84.47,68.95,65.78,18.29,73.28,80.81,84.07,23.45,0.03,381079313585.519,7896895.07426225
79,eez,175,Denmark,DNK,100613.400453,98.79,90.22,100,100,53.75,71.75,60.59,59.19,96.35,90.27,75.54,71.06,70.37,100,13.15,61.01,95.13,84.1,26.26,0.23,318020355097.699,8357709.05723535
80,eez,176,Germany,DEU,56357.9233539,97.56,87.95,100,100,49.95,100,58.62,55.15,91.26,89.84,84.86,91.86,83.72,100,10.5,73.29,94.92,84.64,97.97,0.12,169684551408.63,5420195.38688367
81,eez,177,Netherlands,NLD,64204.9916985,98.97,81.13,100,100,45.01,80.25,62.04,58.17,78.18,72.7,75.77,66.87,53.49,100,36.75,51.26,86.35,84.08,69.92,-0.13,187758074300.261,3282518.59916856
82,eez,178,Poland,POL,31945.6484321,90.69,70.34,59.7,60.81,42.78,100,52.88,52.88,59.27,95.45,65.41,82.32,64.64,100,0,74.74,97.73,81.4,22.15,0.99,97745985349.9756,2204301.27810096
83,eez,179,France,FRA,343866.251961,95.57,84.94,75.12,67.35,49.09,100,56.55,54.04,90.44,71.66,70.48,81.98,63.96,100,46.01,49.64,85.83,79.44,61.26,-0.27,720074701018.918,10008492.738159
84,eez,18,Fiji,FJI,1293035.66924,54.63,84.35,98.57,68.77,75.47,81.97,40.54,40.54,87.24,58.44,69.58,68.27,54.57,66.49,0.01,42.77,62.47,81.47,100,0.11,1426894499673.17,8765513.24456957
85,eez,180,United Kingdom,GBR,723406.80786,95.99,87.24,53.85,55.43,62.98,96.43,54.22,51.46,91.67,69.62,72.41,90.22,84,100,13.52,71.42,84.81,82.81,70.69,0.18,2462502947505.77,24850888.3530356
